logfc,adjpv,entrez,symbol
1.89802,0.00385473,12,SERPINA3
-1.43682,0.0105751,19,ABCA1
1.1676,0.00714993,100,ADA
-1.67342,0.00293106,133,ADM
2.42298,0.0110121,134,ADORA1
-1.19023,0.00733219,210,ALAD
-1.7676,0.0035612,288,ANK3
-1.90752,0.00269051,360,AQP3
4.74656,0.00623745,374,AREG
-1.00543,0.00507275,390,RND3
1.10644,0.0349396,398,ARHGDIG
2.53165,0.0113882,429,ASCL1
-1.04566,0.00712241,463,ZFHX3
-1.64792,0.0105634,638,BIK
-1.65556,0.00415713,678,ZFP36L2
-1.20116,0.00711964,687,KLF9
-1.0303,0.00665976,694,BTG1
1.48586,0.0136308,705,BYSL
1.29362,0.00878172,744,MPPED2
-3.41271,0.009727,753,LDLRAD4
1.67073,0.00143886,771,CA12
4.58553,0.00169584,794,CALB2
-1.44847,0.00212298,901,CCNG2
1.08149,0.0100495,990,CDC6
1.02559,0.0340133,993,CDC25A
-2.4984,0.00387073,1021,CDK6
-1.74381,0.0132695,1030,CDKN2B
-1.3868,0.00620792,1048,CEACAM5
1.27808,0.0138722,1161,ERCC8
-1.14237,0.00321548,1191,CLU
-1.12003,0.0182093,1408,CRY2
-2.95345,0.00170979,1475,CSTA
-1.58675,0.00620792,1501,CTNND2
1.2107,0.0106633,1503,CTPS1
1.22189,0.00143559,1509,CTSD
-2.07931,0.00566064,1580,CYP4B1
-2.48777,0.00549229,1601,DAB2
-1.13508,0.0125845,1628,DBP
1.18069,0.0022908,1662,DDX10
1.31048,0.0049547,1717,DHCR7
-1.48286,0.0104893,1746,DLX2
1.09508,0.00960701,1802,DPH2
-1.70772,0.00878172,1831,TSC22D3
1.46729,0.00525356,1836,SLC26A2
-1.14342,0.00614599,1942,EFNA1
1.76021,0.00276593,1952,CELSR2
5.69237,0.00119438,1960,EGR3
-1.50836,0.00998358,1992,SERPINB1
-1.13588,0.0119015,1999,ELF3
1.0118,0.0173155,2026,ENO2
-1.73904,0.0158172,2043,EPHA4
-1.07274,0.0250784,2053,EPHX2
-1.09956,0.0036757,2064,ERBB2
-3.11548,0.00497851,2066,ERBB4
-1.25497,0.00280658,2099,ESR1
1.3083,0.00487923,2171,FABP5
1.32827,0.0295265,2172,FABP6
-1.29245,0.00729348,2202,EFEMP1
-1.03205,0.00413933,2203,FBP1
1.38426,0.00239035,2222,FDFT1
-2.47202,0.00317383,2258,FGF13
-1.61016,0.0022908,2273,FHL1
2.56048,0.00968186,2274,FHL2
1.18254,0.00317383,2355,FOSL2
1.90098,0.00374053,2444,FRK
1.03426,0.00584649,2539,G6PD
3.1521,0.00525356,2626,GATA4
1.97659,0.0238884,2669,GEM
1.35908,0.0119015,2683,B4GALT1
1.14352,0.0134566,2717,GLA
-2.12135,0.00378783,2888,GRB14
-1.00649,0.00413933,2908,NR3C1
-1.19173,0.00375294,2947,GSTM3
-1.09356,0.0268767,3012,HIST1H2AE
-1.24194,0.0168048,3229,HOXC13
-1.6768,0.00599255,3397,ID1
-1.55125,0.00276593,3398,ID2
-1.24341,0.0120197,3399,ID3
-1.46406,0.00629464,3400,ID4
-1.78607,0.0121658,3486,IGFBP3
1.14789,0.00306472,3487,IGFBP4
-1.66865,0.00229993,3488,IGFBP5
-4.36499,0.00391649,3554,IL1R1
1.92039,0.0025873,3669,ISG20
1.0874,0.0290354,3717,JAK2
-1.13511,0.0351904,3730,ANOS1
-3.08039,0.00770075,3764,KCNJ8
-2.00564,0.00618382,3778,KCNMA1
-1.26387,0.0105751,3912,LAMB1
-1.38445,0.046192,3913,LAMB2
1.47641,0.00421229,3949,LDLR
-1.32856,0.0139368,4059,BCAM
-1.39001,0.0138711,4067,LYN
-1.39833,0.00226901,4082,MARCKS
-1.43417,0.0035612,4128,MAOA
1.12658,0.0203497,4129,MAOB
-1.30596,0.00607909,4131,MAP1B
-1.13339,0.00759195,4151,MB
-1.31313,0.0194583,4163,MCC
1.35817,0.00945656,4234,METTL1
2.81599,0.00170979,4256,MGP
-2.4173,0.0157009,4311,MME
-1.75475,0.00413933,4430,MYO1B
1.51876,0.00385473,4477,MSMB
1.13328,0.00856559,4602,MYB
1.82089,0.0144452,4603,MYBL1
1.18451,0.00635649,4616,GADD45B
-1.16163,0.0169353,4636,MYL5
1.21991,0.00830896,4665,NAB2
-1.50953,0.00614599,4680,CEACAM6
-1.49881,0.00883201,4739,NEDD9
1.03341,0.00774762,4883,NPR3
1.91645,0.00482998,4886,NPY1R
1.10122,0.0356948,5026,P2RX5
1.04096,0.00817223,5163,PDK1
3.96802,0.00170979,5174,PDZK1
-1.02112,0.0080295,5205,ATP8B1
-2.67463,0.0122655,5239,PGM5
3.46591,0.00280658,5241,PGR
1.97046,0.000916282,5265,SERPINA1
-1.57974,0.0127202,5295,PIK3R1
1.32475,0.0210725,5317,PKP1
1.16992,0.0149347,5329,PLAUR
1.25846,0.00421229,5366,PMAIP1
-2.98243,0.00235894,5376,PMP22
1.21156,0.00539654,5420,PODXL
-1.99476,0.003249,5507,PPP1R3C
-1.154,0.0177621,5569,PKIA
1.18021,0.0110141,5570,PKIB
-1.6964,0.00391649,5734,PTGER4
-1.13309,0.018086,5753,PTK6
-1.12899,0.00119438,5795,PTPRJ
-1.07617,0.00100736,5874,RAB27B
-1.93521,0.00517078,5934,RBL2
-1.16603,0.0401714,5966,REL
1.57363,0.0022824,5979,RET
1.0257,0.00595693,6059,ABCE1
1.81207,0.00276593,6197,RPS6KA3
-1.24934,0.0155826,6253,RTN2
3.93191,0.00170979,6278,S100A7
1.11429,0.0092831,6279,S100A8
1.24205,0.00596039,6280,S100A9
1.70533,0.00186703,6319,SCD
3.24844,0.00101096,6387,CXCL12
-2.3281,0.00169584,6414,SELENOP
-1.99702,0.00170979,6445,SGCG
1.60944,0.0187384,6446,SGK1
-1.04554,0.00928272,6451,SH3BGRL
1.33232,0.00186703,6478,SIAH2
-1.85632,0.0360623,6482,ST3GAL1
1.6207,0.0172731,6505,SLC1A1
1.30512,0.00247386,6513,SLC2A1
1.94676,0.00280658,6520,SLC3A2
1.55552,0.0125184,6533,SLC6A6
-1.09978,0.000975167,6548,SLC9A1
-1.11227,0.0106667,6558,SLC12A2
1.29879,0.000916282,6566,SLC16A1
-1.04557,0.00983571,6594,SMARCA1
1.15595,0.00511478,6627,SNRPA1
1.94034,0.00113334,6658,SOX3
1.30118,0.0110639,6723,SRM
-1.47014,0.00607466,6867,TACC1
-1.48662,0.00453467,6934,TCF7L2
1.51944,0.00356985,6947,TCN1
1.1568,0.0113312,6990,DYNLT3
1.13503,0.009727,7022,TFAP2C
-1.06441,0.00350235,7026,NR2F2
-2.18078,0.00615388,7035,TFPI
2.31027,0.00511478,7069,THRSP
1.37993,0.00664028,7074,TIAM1
